name,value,time
motion,inactive,19:45.9
acceleration,inactive,19:40.5
status,open,19:36.3
acceleration,active,19:36.3
motion,active,19:23.5
motion,inactive,19:13.7
motion,active,18:57.5
acceleration,inactive,05:47.9
status,closed,05:44.1
acceleration,active,05:41.8
temperature,72,59:09.6
motion,inactive,53:04.5
acceleration,inactive,53:03.7
acceleration,active,52:57.2
status,open,52:57.1
motion,active,52:47.0
temperature,71,39:05.6
temperature,70,48:55.5
acceleration,inactive,38:46.5
acceleration,active,38:43.3
acceleration,inactive,19:33.4
acceleration,active,19:30.1
temperature,69,43:44.1
acceleration,inactive,16:34.0
acceleration,active,16:30.8
acceleration,inactive,16:09.2
acceleration,active,16:05.8
temperature,70,48:23.1
temperature,71,17:53.0
temperature,72,07:39.1
motion,inactive,45:48.1
motion,active,45:14.8
motion,inactive,44:14.8
acceleration,inactive,43:58.2
motion,active,43:56.8
status,closed,43:54.6
acceleration,active,43:52.5
acceleration,inactive,43:01.4
status,open,42:57.6
acceleration,active,42:57.3
motion,inactive,05:03.8
acceleration,inactive,04:20.8
motion,active,04:19.9
status,closed,04:16.9
acceleration,active,04:13.8
motion,inactive,56:15.3
acceleration,inactive,56:09.5
acceleration,active,56:05.2
motion,active,55:23.1
motion,inactive,55:20.9
motion,active,55:09.4
motion,inactive,55:07.6
motion,active,54:34.7
motion,inactive,54:33.7
motion,active,54:20.9
motion,inactive,54:10.8
motion,active,52:09.1
motion,inactive,52:03.6
motion,active,51:28.8
motion,inactive,51:25.1
motion,active,51:04.6
motion,inactive,50:58.2
motion,active,50:41.3
motion,inactive,50:28.9
motion,active,50:18.0
motion,inactive,50:15.7
motion,active,50:02.2
motion,inactive,49:51.8
motion,active,49:32.5
motion,inactive,49:27.8
motion,active,48:56.3
motion,inactive,48:19.7
motion,active,47:18.2
motion,inactive,47:16.2
motion,active,47:02.7
motion,inactive,46:53.7
motion,active,46:33.4
motion,inactive,46:29.2
motion,active,46:13.2
motion,inactive,46:12.2
motion,active,44:01.5
motion,inactive,43:18.2
motion,active,42:30.2
motion,inactive,42:26.4
temperature,73,42:20.9
motion,active,41:11.3
motion,inactive,41:09.0
motion,active,40:41.4
motion,inactive,40:39.5
motion,active,39:50.4
motion,inactive,39:24.5
motion,active,39:08.5
motion,inactive,38:48.9
motion,active,37:34.9
motion,inactive,37:32.4
motion,active,37:17.1
motion,inactive,37:14.1
acceleration,inactive,36:13.2
acceleration,active,36:08.7
motion,active,36:02.9
motion,inactive,35:59.2
motion,active,35:36.1
motion,inactive,35:29.4
motion,active,35:09.6
motion,inactive,35:04.3
motion,active,34:31.1
motion,inactive,34:17.2
motion,active,33:57.5
motion,inactive,33:54.5
motion,active,33:43.9
motion,inactive,33:33.0
motion,active,33:10.8
motion,inactive,32:48.1
motion,active,32:01.8
motion,inactive,31:56.4
motion,active,31:39.7
motion,inactive,31:34.7
motion,active,31:19.6
motion,inactive,31:14.1
motion,active,30:03.1
motion,inactive,29:58.3
motion,active,29:14.6
motion,inactive,29:13.6
motion,active,26:59.3
temperature,74,17:15.2
motion,inactive,08:16.9
motion,active,08:04.4
motion,inactive,07:31.6
acceleration,inactive,07:27.0
acceleration,active,07:22.3
acceleration,inactive,07:18.5
motion,active,07:17.2
acceleration,active,07:15.2
acceleration,inactive,04:56.4
acceleration,active,04:51.9
motion,inactive,04:43.7
motion,active,04:23.5
motion,inactive,04:18.1
motion,active,03:24.5
motion,inactive,03:22.2
motion,active,02:03.6
motion,inactive,01:58.9
motion,active,01:41.3
motion,inactive,01:34.6
motion,active,01:23.0
motion,inactive,01:21.8
motion,active,00:37.9
motion,inactive,00:16.7
motion,active,00:06.1
motion,inactive,59:53.3
motion,active,59:27.5
motion,inactive,59:18.4
motion,active,59:08.0
motion,inactive,58:55.0
motion,active,58:36.7
motion,inactive,58:31.6
motion,active,58:09.4
motion,inactive,58:03.5
motion,active,57:36.8
motion,inactive,57:12.7
motion,active,56:46.9
motion,inactive,56:45.1
motion,active,55:20.7
motion,inactive,55:17.7
